FIPS,Pop,Density,HH,pop_lt_5,pct_lt_5,pop_gt_65,pct_gt_65,MedAge,White,Pctwhite,Black,Pctblack,Hispanic,PctHispanic,PctImmigra,Unemployed,InLaborFocre,pct_unemployed,MdHHInc,PctVacant,PctHighSch,PctBA,PctGrad,Md_Value
470370105021 ,943,2187.815,368,86,0.091198303,118,0.125132556,36.2,821,0.870625663,57,0.060445387,15,0.015906681,0.012725345,93,425,0.218823529,40435,0.185840708,0.840336134,0.169747899,0.104201681,108100
470370105022 ,1157,2001.555,477,61,0.052722558,165,0.142610199,44,1003,0.866897148,143,0.123595506,14,0.012100259,0.004321521,44,687,0.064046579,55492,0.101694915,0.913288288,0.237612613,0.076576577,108100
470370105023 ,3086,1826.96,1131,335,0.108554763,383,0.124108879,35.3,2428,0.786779002,608,0.197018795,302,0.097861309,0.047958522,66,1595,0.04137931,62521,0,0.87875895,0.327923628,0.099761337,108300
470370106011 ,2843,3226.735,1198,61,0.021456208,252,0.088638762,44.1,763,0.268378473,1510,0.531129089,723,0.254308829,0.112205417,149,1742,0.085533869,46212,0.107302534,0.698691926,0.179521876,0.069012179,109000
470370106012 ,1465,281.0291,577,25,0.017064846,341,0.232764505,51.2,1106,0.754948805,359,0.245051195,0,0,0,50,830,0.060240964,59654,0,0.912764004,0.228650138,0.101010101,109300
470370106013 ,763,1839.684,326,16,0.020969856,83,0.108781127,33.8,693,0.908256881,70,0.091743119,0,0,0.014416776,0,545,0,68750,0,0.971061093,0.361736334,0.08681672,109500
470370106021 ,2179,3099.855,781,132,0.060578247,210,0.096374484,35.2,978,0.448829738,912,0.418540615,424,0.194584672,0.098210188,55,1200,0.045833333,44097,0.076832151,0.892905866,0.167803547,0.017735334,110100
470370106022 ,1797,3645.696,525,161,0.089593767,154,0.085698386,33.8,730,0.40623261,799,0.444629939,183,0.101836394,0.087367835,85,782,0.108695652,44077,0.055755396,0.756859035,0.174077578,0.033112583,110200
470370107011 ,1243,4769.422,487,67,0.05390185,79,0.063555913,32.3,761,0.612228479,162,0.130329847,495,0.398230088,0.164119067,13,541,0.024029575,28750,0.204248366,0.655253837,0.075560803,0.027154664,110300
470370107012 ,1615,4231.3,604,175,0.108359133,144,0.089164087,31.4,865,0.535603715,440,0.27244582,298,0.184520124,0.156656347,177,859,0.206053551,30000,0.166896552,0.743,0.204,0.049,111100
470370107013 ,684,2016.395,339,13,0.019005848,115,0.168128655,36.5,474,0.692982456,166,0.242690058,101,0.147660819,0.102339181,26,430,0.060465116,46042,0.15037594,0.962105263,0.288421053,0.191578947,111400
470370107014 ,710,2180.132,296,55,0.077464789,95,0.133802817,35.5,367,0.516901408,107,0.150704225,207,0.291549296,0.107042254,60,414,0.144927536,30250,0.210666667,0.852822581,0.151209677,0.066532258,111900
470370107021 ,1102,4662.62,599,87,0.078947368,196,0.177858439,42.6,441,0.400181488,379,0.343920145,320,0.290381125,0.174228675,56,447,0.125279642,21640,0.136887608,0.802531646,0.088607595,0.03164557,111900
470370107022 ,2261,2819.316,1151,204,0.090225564,404,0.178681999,34.5,1006,0.444935869,704,0.311366652,480,0.212295444,0.131800088,74,962,0.076923077,22827,0.071774194,0.749187784,0.092267706,0.025341131,112000
470370108011 ,2378,2350.077,991,292,0.122792262,252,0.105971405,31.6,964,0.405382675,1240,0.521446594,79,0.033221194,0.042472666,15,1304,0.011503067,41101,0.040658277,0.914248872,0.150225661,0.094777563,112200
470370108012 ,835,1329.573,340,149,0.178443114,128,0.153293413,57.2,759,0.908982036,52,0.062275449,149,0.178443114,0,1,368,0.002717391,36929,0,0.954710145,0.335144928,0.211956522,112200
470370108013 ,2027,4302.62,1008,58,0.028613715,362,0.178589048,38.3,850,0.419338925,1021,0.503700049,288,0.142081894,0.079921066,25,1011,0.024727992,35455,0.124239791,0.804457225,0.082674335,0.029475198,112400
470370108021 ,1444,1605.359,668,127,0.087950139,243,0.168282548,47.3,828,0.573407202,564,0.390581717,10,0.006925208,0.033240997,34,915,0.03715847,39444,0.053824363,0.956327986,0.314616756,0.1114082,112500
470370108022 ,1186,2544.209,464,32,0.02698145,494,0.416526138,57.9,706,0.595278246,433,0.365092749,62,0.05227656,0.05311973,27,455,0.059340659,39145,0,0.707724426,0.233820459,0.135699374,112900
470370108023 ,1196,1703.387,484,55,0.045986622,301,0.251672241,50.1,870,0.727424749,282,0.235785953,133,0.111204013,0.054347826,11,491,0.022403259,44688,0.050980392,0.872527473,0.363736264,0.150549451,112900
470370109011 ,501,2054.869,221,46,0.091816367,70,0.139720559,36,239,0.477045908,237,0.473053892,30,0.05988024,0.077844311,30,331,0.090634441,48365,0.348082596,0.836565097,0.180055402,0.099722992,113500
